CANCER_TYPE,N_total,N_loh,Pct_LOH,Pct_A,Pct_B,Pct_C,Pct_3loci,Med_TMB,Pct_WGD
Adrenocortical Carcinoma,64,39,60.9375,54.6875,48.4375,51.5625,40.625,1.75542998379738,56.25
Anal Cancer,91,46,50.5494505494506,40.6593406593407,40.6593406593407,40.6593406593407,31.8681318681319,5.26628995139214,9.89010989010989
Cervical Cancer,241,97,40.2489626556017,34.4398340248963,29.8755186721992,27.3858921161826,21.5767634854772,3.51085996759476,19.5020746887967
Germ Cell Tumor,364,143,39.2857142857143,29.6703296703297,21.7032967032967,26.0989010989011,12.6373626373626,0.983789122833942,71.7032967032967
Esophagogastric Cancer,1025,389,37.9512195121951,28.9756097560976,23.1219512195122,25.1707317073171,14.8292682926829,4.38857495949345,43.219512195122
Head and Neck Cancer,295,111,37.6271186440678,32.5423728813559,27.1186440677966,27.7966101694915,20.3389830508475,4.38857495949345,18.3050847457627
Ovarian Cancer,1494,558,37.3493975903614,28.6479250334672,25.8366800535475,26.8406961178046,16.8674698795181,3.51085996759476,49.2637215528782
Uterine Sarcoma,205,68,33.1707317073171,26.8292682926829,24.8780487804878,27.8048780487805,20,1.75542998379738,28.2926829268293
Pancreatic Cancer,2176,714,32.8125,26.0569852941176,20.4503676470588,22.4724264705882,13.9246323529412,3.51085996759476,19.8069852941176
Colorectal Cancer,2859,880,30.7799930045471,23.5746764603008,20.7764952780693,22.0706540748514,13.9559286463799,5.90273473700365,38.9996502273522
Nerve Sheath Tumor,77,23,29.8701298701299,24.6753246753247,25.974025974026,22.0779220779221,19.4805194805195,1.75542998379738,40.2597402597403
Non-Small Cell Lung Cancer,4091,1221,29.8460034221462,21.730628208262,18.210706428746,19.7751161085309,10.9753116597409,5.26628995139214,33.2192617941824
Small Bowel Cancer,88,26,29.5454545454546,21.5909090909091,18.1818181818182,21.5909090909091,12.5,6.14400494329083,20.4545454545455
Sellar Tumor,51,14,27.4509803921569,17.6470588235294,19.6078431372549,19.6078431372549,13.7254901960784,0,27.4509803921569
Bladder Cancer,1348,360,26.7062314540059,19.4362017804154,15.7270029673591,17.7299703264095,9.86646884272997,7.4,33.160237388724
Bone Cancer,365,94,25.7534246575342,20.5479452054795,18.3561643835616,20,13.4246575342466,0.877714991898691,30.958904109589
Renal Cell Carcinoma,815,198,24.2944785276074,18.5276073619632,17.1779141104294,18.0368098159509,11.5337423312883,3.3,16.1963190184049
Breast Cancer,3418,828,24.2246928028087,17.9929783499122,15.2135751901697,15.3013458162668,8.80631948507899,3.51085996759476,31.7437097717964
Soft Tissue Sarcoma,1251,285,22.7817745803357,18.4652278177458,16.1470823341327,17.5059952038369,11.7505995203837,0.983789122833942,27.418065547562
Hepatobiliary Cancer,743,168,22.6110363391655,17.6312247644684,15.0740242261104,15.0740242261104,9.69044414535666,3.3,21.2651413189771
Melanoma,924,206,22.2943722943723,15.3679653679654,12.5541125541126,13.6363636363636,6.81818181818182,6.8865238598376,24.025974025974
"Skin Cancer, Non-Melanoma",254,52,20.4724409448819,16.1417322834646,10.6299212598425,11.4173228346457,7.08661417322835,3.51085996759476,16.1417322834646
Small Cell Lung Cancer,304,57,18.75,14.1447368421053,14.4736842105263,14.4736842105263,10.1973684210526,7.89943492708822,43.0921052631579
Mesothelioma,202,36,17.8217821782178,14.8514851485149,9.40594059405941,10.3960396039604,5.44554455445545,1.75542998379738,11.8811881188119
Appendiceal Cancer,157,26,16.5605095541401,12.7388535031847,6.36942675159236,6.36942675159236,2.54777070063694,3.51085996759476,14.6496815286624
CNS Cancer,110,18,16.3636363636364,13.6363636363636,12.7272727272727,15.4545454545455,11.8181818181818,0.877714991898691,10
Gastrointestinal Neuroendocrine Tumor,110,18,16.3636363636364,10.9090909090909,10.9090909090909,10,4.54545454545455,1.75542998379738,14.5454545454545
Thyroid Cancer,457,70,15.3172866520788,12.253829321663,11.5973741794311,11.8161925601751,8.7527352297593,1.96757824566788,9.19037199124726
Retinoblastoma,76,11,14.4736842105263,6.57894736842105,11.8421052631579,11.8421052631579,3.94736842105263,0.930752057366317,5.26315789473684
Endometrial Cancer,1455,200,13.745704467354,9.34707903780069,7.62886597938144,9.48453608247423,4.60481099656357,5.26628995139214,22.8178694158076
Salivary Gland Cancer,208,28,13.4615384615385,10.0961538461538,8.17307692307692,8.17307692307692,5.76923076923077,2.63314497569607,16.8269230769231
Peripheral Nervous System,207,27,13.0434782608696,5.79710144927536,8.21256038647343,5.79710144927536,1.44927536231884,0.9,21.2121212121212
Glioma,1510,180,11.9205298013245,8.80794701986755,8.14569536423841,8.74172185430464,5.49668874172185,3.51085996759476,8.5430463576159
Prostate Cancer,1958,217,11.0827374872319,7.35444330949949,6.02655771195097,5.56690500510725,2.6046986721144,2.63314497569607,18.3350357507661
Gastrointestinal Stromal Tumor,354,34,9.6045197740113,7.34463276836158,5.93220338983051,8.19209039548023,4.23728813559322,1.75542998379738,10.7344632768362
